reg_date,temperature
"2023-06-01 13:47:15",26.55
"2023-06-01 13:47:21",26.55
"2023-06-01 13:47:24",26.55
"2023-06-01 13:47:30",26.55
"2023-06-01 13:47:36",26.55
"2023-06-01 13:47:39",26.55
"2023-06-01 13:47:45",26.55
"2023-06-01 13:47:51",26.57
"2023-06-01 13:47:54",26.57
"2023-06-01 13:48:00",26.55
"2023-06-01 13:48:06",26.55
"2023-06-01 13:48:09",26.55
"2023-06-01 13:48:15",26.55
"2023-06-01 13:48:21",26.55
"2023-06-01 13:48:24",26.57
"2023-06-01 13:48:30",26.57
"2023-06-01 13:48:36",26.55
"2023-06-01 13:48:39",26.55
"2023-06-01 13:48:45",26.57
"2023-06-01 13:48:51",26.57
"2023-06-01 13:48:54",26.55
"2023-06-01 13:49:00",26.55
"2023-06-01 13:49:06",26.55
"2023-06-01 13:49:09",26.57
"2023-06-01 13:49:15",26.57
"2023-06-01 13:49:21",26.57
"2023-06-01 13:49:24",26.57
"2023-06-01 13:49:30",26.55
"2023-06-01 13:49:36",26.55
"2023-06-01 13:49:39",26.57
"2023-06-01 13:49:45",26.57
"2023-06-01 13:49:51",26.57
"2023-06-01 13:49:54",26.57
"2023-06-01 13:50:00",26.57
"2023-06-01 13:50:06",26.57
"2023-06-01 13:50:09",26.57
"2023-06-01 13:50:15",26.57
"2023-06-01 13:50:21",26.57
"2023-06-01 13:50:24",26.57
"2023-06-01 13:50:30",26.57
"2023-06-01 13:50:36",26.57
"2023-06-01 13:50:39",26.57
"2023-06-01 13:50:46",26.59
"2023-06-01 13:50:52",26.59
"2023-06-01 13:50:55",26.59
"2023-06-01 13:51:01",26.57
"2023-06-01 13:51:07",26.57
"2023-06-01 13:51:10",26.59
"2023-06-01 13:51:16",26.59
"2023-06-01 13:51:22",26.59
"2023-06-01 13:51:25",26.59
"2023-06-01 13:51:31",26.59
"2023-06-01 13:51:37",26.59
"2023-06-01 13:51:40",26.59
"2023-06-01 13:51:46",26.57
"2023-06-01 13:51:49",26.57
"2023-06-01 13:51:55",26.57
"2023-06-01 13:52:01",26.57
"2023-06-01 13:52:04",26.57
"2023-06-01 13:52:10",26.57
"2023-06-01 13:52:16",26.59
"2023-06-01 13:52:19",26.59
"2023-06-01 13:52:25",26.57
"2023-06-01 13:52:31",26.57
"2023-06-01 13:52:34",26.57
"2023-06-01 13:52:40",26.57
"2023-06-01 13:52:46",26.57
"2023-06-01 13:52:49",26.57
"2023-06-01 13:52:55",26.57
"2023-06-01 13:53:01",26.57
"2023-06-01 13:53:04",26.57
"2023-06-01 13:53:10",26.59
"2023-06-01 13:53:16",26.59
"2023-06-01 13:53:19",26.57
"2023-06-01 13:53:25",26.57
"2023-06-01 13:53:31",26.57
"2023-06-01 13:53:34",26.59
"2023-06-01 13:53:40",26.59
"2023-06-01 13:53:46",26.59
"2023-06-01 13:53:49",26.59
"2023-06-01 13:53:55",26.57
"2023-06-01 13:54:01",26.57
"2023-06-01 13:54:04",26.57
"2023-06-01 13:54:10",26.57
"2023-06-01 13:54:16",26.57
"2023-06-01 13:54:19",26.57
"2023-06-01 13:54:25",26.57
"2023-06-01 13:54:31",26.57
"2023-06-01 13:54:34",26.57
"2023-06-01 13:54:40",26.59
"2023-06-01 13:54:46",26.59
"2023-06-01 13:54:49",26.57
"2023-06-01 13:54:55",26.57
"2023-06-01 13:55:01",26.59
"2023-06-01 13:55:04",26.59
"2023-06-01 13:55:10",26.57
"2023-06-01 13:55:16",26.57
"2023-06-01 13:55:19",26.57
"2023-06-01 13:55:25",26.61
"2023-06-01 13:55:31",26.61
"2023-06-01 13:55:34",26.59
"2023-06-01 13:55:40",26.59
"2023-06-01 13:55:46",26.59
"2023-06-01 13:55:49",26.59
"2023-06-01 13:55:55",26.59
"2023-06-01 13:56:01",26.59
"2023-06-01 13:56:04",26.59
"2023-06-01 13:56:10",26.59
"2023-06-01 13:56:16",26.59
"2023-06-01 13:56:19",26.57
"2023-06-01 13:56:25",26.57
"2023-06-01 13:56:31",26.61
"2023-06-01 13:56:34",26.61
"2023-06-01 13:56:40",26.59
"2023-06-01 13:56:47",26.59
"2023-06-01 13:56:50",26.59
"2023-06-01 13:56:56",26.59
"2023-06-01 13:57:02",26.59
"2023-06-01 13:57:05",26.59
"2023-06-01 13:57:11",26.59
"2023-06-01 13:57:17",26.59
"2023-06-01 13:57:20",26.59
"2023-06-01 13:57:26",26.63
"2023-06-01 13:57:32",26.63
"2023-06-01 13:57:35",26.57
"2023-06-01 13:57:41",26.57
"2023-06-01 13:57:47",26.59
"2023-06-01 13:57:50",26.59
"2023-06-01 13:57:56",26.59
"2023-06-01 13:57:59",26.59
"2023-06-01 13:58:05",26.59
"2023-06-01 13:58:11",26.59
"2023-06-01 13:58:14",26.59
"2023-06-01 13:58:20",26.59
"2023-06-01 13:58:26",26.59
"2023-06-01 13:58:29",26.59
"2023-06-01 13:58:35",26.59
"2023-06-01 13:58:41",26.59
"2023-06-01 13:58:44",26.59
"2023-06-01 13:58:50",26.59
"2023-06-01 13:58:56",26.59
"2023-06-01 13:58:59",26.61
"2023-06-01 13:59:05",26.61
"2023-06-01 13:59:11",26.61
"2023-06-01 13:59:14",26.57
"2023-06-01 13:59:20",26.57
"2023-06-01 13:59:26",26.59
"2023-06-01 13:59:29",26.59
"2023-06-01 13:59:35",26.59
"2023-06-01 13:59:41",26.59
"2023-06-01 13:59:44",26.61
"2023-06-01 13:59:50",26.61
"2023-06-01 13:59:56",26.61
"2023-06-01 13:59:59",26.57
"2023-06-01 14:00:05",26.57
"2023-06-01 14:00:11",26.59
"2023-06-01 14:00:14",26.59
"2023-06-01 14:00:20",26.59
"2023-06-01 14:00:26",26.59
"2023-06-01 14:00:29",26.59
"2023-06-01 14:00:35",26.59
"2023-06-01 14:00:41",26.59
"2023-06-01 14:00:44",26.59
"2023-06-01 14:00:50",26.59
"2023-06-01 14:00:56",26.59
"2023-06-01 14:00:59",26.59
"2023-06-01 14:01:05",26.59
"2023-06-01 14:01:11",26.59
"2023-06-01 14:01:14",26.59
"2023-06-01 14:01:20",26.59
"2023-06-01 14:01:26",26.59
"2023-06-01 14:01:29",26.59
"2023-06-01 14:01:35",26.59
"2023-06-01 14:01:41",26.59
"2023-06-01 14:01:44",26.59
"2023-06-01 14:01:50",26.59
"2023-06-01 14:01:56",26.59
"2023-06-01 14:01:59",26.59
"2023-06-01 14:02:05",26.59
"2023-06-01 14:02:11",26.59
"2023-06-01 14:02:14",26.59
"2023-06-01 14:02:20",26.59
"2023-06-01 14:02:26",26.59
"2023-06-01 14:02:29",26.59
"2023-06-01 14:02:35",26.59
"2023-06-01 14:02:41",26.59
"2023-06-01 14:02:44",26.59
"2023-06-01 14:02:50",26.59
"2023-06-01 14:02:56",26.59
"2023-06-01 14:02:59",26.59
"2023-06-01 14:03:05",26.59
"2023-06-01 14:03:11",26.59
"2023-06-01 14:03:14",26.61
"2023-06-01 14:03:20",26.61
"2023-06-01 14:03:26",26.59
"2023-06-01 14:03:30",26.59
"2023-06-01 14:03:36",26.59
"2023-06-01 14:03:42",26.61
"2023-06-01 14:03:45",26.61
"2023-06-01 14:03:51",26.61
"2023-06-01 14:03:57",26.61
"2023-06-01 14:04:00",26.61
"2023-06-01 14:04:06",26.61
"2023-06-01 14:04:12",26.61
"2023-06-01 14:04:15",26.61
"2023-06-01 14:04:21",26.61
"2023-06-01 14:04:27",26.61
"2023-06-01 14:04:30",26.61
"2023-06-01 14:04:36",26.61
"2023-06-01 14:04:42",26.61
"2023-06-01 14:04:45",26.61
"2023-06-01 14:04:51",26.61
"2023-06-01 14:04:57",26.59
"2023-06-01 14:05:00",26.59
"2023-06-01 14:05:06",26.61
"2023-06-01 14:05:12",26.61
"2023-06-01 14:05:15",26.59
"2023-06-01 14:05:21",26.59
"2023-06-01 14:05:24",26.59
"2023-06-01 14:05:30",26.59
"2023-06-01 14:05:36",26.59
"2023-06-01 14:05:39",26.61
"2023-06-01 14:05:45",26.61
"2023-06-01 14:05:51",26.59
"2023-06-01 14:05:54",26.59
"2023-06-01 14:06:00",26.59
"2023-06-01 14:06:06",26.59
"2023-06-01 14:06:09",26.59
"2023-06-01 14:06:15",26.59
"2023-06-01 14:06:21",26.59
"2023-06-01 14:06:24",26.59
"2023-06-01 14:06:30",26.59
"2023-06-01 14:06:36",26.59
"2023-06-01 14:06:39",26.59
"2023-06-01 14:06:45",26.59
"2023-06-01 14:06:51",26.59
"2023-06-01 14:06:54",26.59
"2023-06-01 14:07:00",26.59
"2023-06-01 14:07:06",26.57
"2023-06-01 14:07:09",26.57
"2023-06-01 14:07:15",26.57
"2023-06-01 14:07:21",26.59
"2023-06-01 14:07:24",26.59
"2023-06-01 14:07:30",26.57
"2023-06-01 14:07:36",26.57
"2023-06-01 14:07:39",26.57
"2023-06-01 14:07:45",26.57
"2023-06-01 14:07:51",26.57
"2023-06-01 14:07:54",26.57
"2023-06-01 14:08:00",26.57
"2023-06-01 14:08:06",26.57
"2023-06-01 14:08:09",26.57
"2023-06-01 14:08:15",26.57
"2023-06-01 14:08:21",26.57
"2023-06-01 14:08:24",26.57
"2023-06-01 14:08:30",26.57
"2023-06-01 14:08:36",26.59
"2023-06-01 14:08:39",26.59
"2023-06-01 14:08:45",26.57
"2023-06-01 14:08:51",26.57
"2023-06-01 14:08:54",26.57
"2023-06-01 14:09:00",26.57
"2023-06-01 14:09:06",26.57
"2023-06-01 14:09:09",26.57
"2023-06-01 14:09:15",26.57
"2023-06-01 14:09:21",26.57
"2023-06-01 14:09:24",26.57
"2023-06-01 14:09:30",26.59
"2023-06-01 14:09:36",26.59
"2023-06-01 14:09:39",26.57
"2023-06-01 14:09:45",26.57
"2023-06-01 14:09:51",26.57
"2023-06-01 14:09:54",26.59
"2023-06-01 14:10:00",26.59
"2023-06-01 14:10:06",26.59
"2023-06-01 14:10:09",26.59
"2023-06-01 14:10:15",26.61
"2023-06-01 14:10:21",26.61
"2023-06-01 14:10:24",26.59
"2023-06-01 14:10:30",26.59
"2023-06-01 14:10:36",26.57
"2023-06-01 14:10:39",26.57
"2023-06-01 14:10:45",26.57
"2023-06-01 14:10:51",26.59
"2023-06-01 14:10:54",26.59
"2023-06-01 14:11:00",26.61
"2023-06-01 14:11:06",26.61
"2023-06-01 14:11:09",26.59
"2023-06-01 14:11:15",26.59
"2023-06-01 14:11:21",26.59
"2023-06-01 14:11:24",26.59
"2023-06-01 14:11:30",26.61
"2023-06-01 14:11:37",26.61
"2023-06-01 14:11:40",26.59
"2023-06-01 14:11:46",26.59
"2023-06-01 14:11:52",26.59
"2023-06-01 14:11:55",26.59
"2023-06-01 14:12:01",26.59
"2023-06-01 14:12:07",26.61
"2023-06-01 14:12:10",26.61
"2023-06-01 14:12:16",26.61
"2023-06-01 14:12:22",26.61
"2023-06-01 14:12:25",26.61
"2023-06-01 14:12:31",26.61
"2023-06-01 14:12:37",26.61
"2023-06-01 14:12:40",26.61
"2023-06-01 14:12:46",26.61
"2023-06-01 14:12:52",26.61
"2023-06-01 14:12:55",26.61
"2023-06-01 14:13:01",26.63
"2023-06-01 14:13:04",26.63
"2023-06-01 14:13:10",26.61
"2023-06-01 14:13:16",26.61
"2023-06-01 14:13:19",26.61
"2023-06-01 14:13:25",26.61
"2023-06-01 14:13:31",26.61
"2023-06-01 14:13:34",26.61
"2023-06-01 14:13:40",26.61
