temperature,humidity,ammonia
27.1,40.8,32.716
27.12,40.93,32.697
27.1,40.99,32.716
27.12,40.92,32.716
27.1,41.05,32.697
27.12,40.93,32.678
27.1,41.01,32.697
27.1,41.04,32.716
27.12,41.3,32.716
27.12,41.27,32.716
27.1,41.19,32.697
27.1,41.36,32.697
27.12,41.56,32.697
27.12,41.46,32.697
27.12,41.72,32.697
27.12,41.68,32.716
27.14,41.54,32.697
27.12,41.56,32.697
27.1,41.61,32.697
27.12,41.8,32.697
27.12,41.65,32.697
27.12,41.76,32.678
27.17,41.82,32.697
27.14,41.86,32.697
27.12,41.86,32.697
27.14,41.89,32.697
27.12,41.9,32.697
27.14,41.95,32.678
27.1,41.88,32.678
27.1,42,32.697
27.1,42.06,32.697
27.12,42.11,32.678
27.1,42.17,32.678
27.12,42.22,32.697
27.12,42.4,32.697
27.17,42.46,32.697
27.12,42.45,32.697
27.1,42.31,32.716
27.12,42.4,32.716
27.1,42.48,32.697
27.1,42.4,32.716
27.1,42.53,32.678
27.1,42.57,32.697
27.1,42.61,32.697
27.08,42.67,32.716
27.12,42.64,32.697
27.1,42.67,32.678
27.08,42.71,32.734
27.08,42.85,32.716
27.1,42.86,32.697
27.1,42.86,32.697
27.1,42.88,32.697
27.1,42.97,32.697
27.12,43.05,32.697
27.1,43.03,32.697
27.1,43.02,32.716
27.1,43.03,32.697
27.1,43.06,32.716
27.1,43.09,32.697
27.1,43.15,32.697
27.08,43.33,32.697
27.1,43.31,32.697
27.1,43.35,32.697
27.1,43.42,32.678
27.1,43.42,32.697
27.1,43.5,32.716
27.12,44.39,32.716
27.12,43.76,32.678
27.1,43.64,32.716
27.12,43.79,32.716
27.1,43.81,32.697
27.1,43.76,32.697
27.12,43.77,32.678
27.12,43.9,32.716
27.12,43.86,32.697
27.1,45.26,32.697
27.12,44.15,32.697
27.12,44.63,32.716
27.12,44.12,32.697
27.12,44.18,32.697
27.12,44.32,32.716
27.1,45.13,32.697
27.12,44.65,32.678
27.14,45.11,32.734
27.12,44.64,32.716
27.12,44.51,32.697
27.12,44.52,32.697
27.1,44.46,32.697
27.1,45.13,32.697
27.12,44.51,32.697
27.1,44.6,32.678
27.1,44.54,32.734
27.12,45.19,32.697
27.1,44.85,32.678
27.1,44.73,32.697
27.12,45.17,32.697
27.12,44.55,32.678
27.12,44.57,32.697
27.12,44.58,32.716
27.1,44.59,32.697
27.1,44.42,32.697
27.08,44.37,32.716
27.08,44.47,32.716
27.06,44.69,32.697
27.04,44.63,32.697
27.06,44.65,32.716
27.06,44.38,32.678
27.06,44.44,32.697
27.06,44.38,32.697
27.1,44.37,32.716
27.08,44.33,32.716
27.08,44.27,32.716
27.06,44.31,32.678
27.06,44.22,32.697
27.06,44.21,32.697
27.08,44.67,32.697
27.06,44.19,32.697
27.06,44.19,32.697
27.06,44.21,32.697
27.04,44.06,32.697
27.04,44,32.697
27.04,44.98,32.716
27.06,44.05,32.697
27.02,44.06,32.697
27.02,44.09,32.716
27.02,44.11,32.697
26.93,44.28,32.697
26.87,44.36,32.697
26.78,44.67,32.697
26.78,44.66,32.697
26.8,44.67,32.716
26.82,44.72,32.716
26.82,44.73,32.697
26.82,44.88,32.697
26.85,44.91,32.716
26.85,44.93,32.697
26.85,44.93,32.697
26.87,44.95,32.697
26.85,44.91,32.716
26.87,45,32.716
26.91,44.99,32.734
26.87,45.16,32.716
26.87,45.18,32.697
26.87,45.29,32.716
26.87,45.4,32.716
26.89,45.43,32.716
26.87,45.86,32.716
26.87,45.54,32.716
26.87,45.51,32.716
26.89,45.9,32.734
26.87,45.68,32.697
26.89,45.63,32.716
26.89,45.68,32.697
26.91,45.75,32.697
26.89,45.7,32.716
26.87,45.82,32.734
26.91,46.07,32.734
26.89,46.24,32.716
26.89,45.8,32.734
26.89,45.79,32.716
26.87,45.99,32.697
26.91,45.82,32.716
26.89,45.81,32.716
26.87,45.84,32.697
26.89,45.83,32.716
26.87,45.95,32.716
26.87,45.98,32.716
26.72,46.14,32.697
26.59,46.43,32.734
26.63,46.43,32.716
26.63,46.36,32.734
26.61,46.35,32.716
26.61,46.39,32.734
26.61,46.39,32.716
26.59,46.49,32.716
26.61,46.47,32.734
